Id:ID|CreationYear:INT|CreationMonth:INT|CreationDay:INT|CreationHour:INT|CreationMinute:INT|CreationSecond:INT|UpVotes:UINT|Location|Views:UINT|LastAccessYear:INT|LastAccessMonth:INT|LastAccessDay:INT|LastAccessHour:INT|LastAccessMinute:INT|LastAccessSecond:INT|DownVotes:UINT|Reputation:UINT
-1|2008|07|31|00|00|00|342842|on the server farm|649|2008|08|26|00|16|53|1123154|1
1|2008|07|31|14|22|31|3374|El Cerrito, CA|476569|2019|05|30|10|07|38|1310|46520
2|2008|07|31|14|22|31|654|Corvallis, OR|25195|2019|06|01|15|29|17|88|3607
3|2008|07|31|14|22|31|7455|Raleigh, NC, United States|25285|2019|05|31|22|39|34|100|13636
4|2008|07|31|14|22|31|801|New York, NY|75775|2019|05|31|17|39|20|96|29400
5|2008|07|31|14|22|31|784|San Diego, CA|12345|2019|05|28|14|38|25|34|40414
8|2008|07|31|21|33|24|12||6828|2018|04|09|02|04|55|9|942
9|2008|07|31|21|35|26|47|Oakland, CA|5359|2019|05|08|18|31|30|4|15348
11588766|2019|06|02|05|00|21|0||0|2019|06|02|05|00|21|0|1
11588767|2019|06|02|05|00|24|0||0|2019|06|02|05|00|24|0|1
11588768|2019|06|02|05|00|28|0||0|2019|06|02|05|00|28|0|1
11588769|2019|06|02|05|00|29|0||0|2019|06|02|05|00|29|0|1
11588770|2019|06|02|05|00|37|0||0|2019|06|02|05|00|37|0|1
11588771|2019|06|02|05|00|49|0||0|2019|06|02|05|00|49|0|1
11588772|2019|06|02|05|01|13|0||0|2019|06|02|05|01|13|0|1
11588773|2019|06|02|05|01|28|0||0|2019|06|02|05|01|28|0|1
11588774|2019|06|02|05|01|33|0||0|2019|06|02|05|01|33|0|1
